id;id_exemplaire;disponibilite;id_livre
1;9897bee7-36ec-4bfc-9023-c019bbdff0e0;false;23375
2;06898331-7106-4722-9392-15998ed66152;true;65351
3;c72eaf1c-f645-4f33-90bd-679cb20bde9e;true;62127
4;2bb393d9-a4b8-4e38-9a5a-5781555b2366;false;41750
5;cc94f1b0-36c0-4b8f-9c63-f555ea3ab218;true;71147
6;6c72ee34-06c4-4033-a790-608bc68b2931;true;54021
7;4080e97b-584d-40e2-8dfa-ad5332ba70d5;false;65609
8;8c3de1a3-4d68-4459-bbf7-928c74f82bb4;false;40159
9;487673fe-7fac-4ac0-9373-9cd3e03fa91c;true;90533
10;06f448ec-38e6-45a1-b23e-016ac926974e;true;89667
